station,weight
acso,0.0
ames,1.0
ashl,0.0
blue,0.0
blw2,0.0
clac,1.0
coa1,0.0
dvry,0.0
ec01,0.0
ecsd,0.0
emly,0.0
frdn,0
grac,1.0
gtrg,0.0
hkry,0.625
hywd,1.0
jcbs,0.0
jfrs,0.0
ksu1,0.0
lkfd,0.25
mc03,0.0
mc08,0.75
mfld,1.0
mfle,0.0
mlca,0.125
moil,0.0
mrta,0.25
nwot,0.0
p002,0.0
p007,0.0
p008,0.0
p012,0.0
p013,0.0
p015,0.0
p016,0.0
p017,0.0
p019,0.0
p023,0.0
p025,0.0
p027,0.0
p029,0.0
p030,0.0
p031,0.0
p032,0.0
p033,0.0
p035,0.0
p036,0.0
p037,0.0
p038,0.0
p039,0.0
p040,0.0
p041,0.0
p042,0.0
p043,0.0
p044,0.0
p045,0.0
p046,0.0
p048,0.0
p049,0.0
p050,0.5
p051,0.0
p052,0.0
p053,0.0
p055,0.0
p057,0.125
p062,0.0
p063,0.0
p068,0.0
p069,0.0
p070,0.0
p076,0.0
p085,0.0
p088,0.0
p090,0.0
p100,0.0
p101,0.0
p103,0.0
p104,0.0
p105,0.0
p106,0.0
p107,0.0
p108,0.0
p109,0.0
p110,0.0
p112,0.0
p113,0.0
p114,0.0
p118,0.0
p120,0.0
p121,0.0
p123,0.0
p124,0.0
p126,0.0
p128,0.0
p130,0.0
p132,0.0
p133,0.0
p137,0.0
p141,0.0
p144,0.0
p149,0.0
p150,0.0
p325,0.0
p346,0.0
p350,0.0
p351,0.0
p353,0.0
p355,0.0
p358,0.0
p360,0.0
p372,0.125
p381,0.0
p386,0.0
p387,0.0
p389,0.0
p390,0.0
p391,0.0
p392,0.0
p393,0.0
p394,0.0
p399,0.0
p413,0.0
p445,1.0
p447,0.125
p448,0.0
p453,0.0
p454,0.0
p455,0.0
p457,0.0
p460,0.0
p461,0.0
p468,0.0
p517,0.0
p553,0.0
p587,0.0
p631,0.0
p637,0.0
p640,0.0
p641,0.0
p645,0.0
p646,0.0
p648,0.0
p649,0.0
p653,0.0
p654,0.0
p670,0.0
p676,0.0
p677,0.0
p678,0.0
p679,0.0
p681,0.0
p682,0.0
p683,0.0
p684,0.0
p685,0.0
p686,0.0
p700,0.0
p706,0.0
p707,0.0
p710,0.0
p717,0.0
p719,0.0
p722,0.0
p730,0.0
p738,0.0
p739,0.0
p775,0.0
p783,0.0
p802,0.0
p803,0.0
plny,0.0
prsp,0.0
regl,0.0
rn86,0.0
roth,1.0
rshm,0.125
sakc,0.125
sc00,0.0
shr1,0.0
spic,0.0
sqwl,0.0
strb,0.0
stvn,1.0
stwv,0.0
vern,0.0
wask,0.0
wlwy,0.0
