state_fips,N_rate_lbs_ac,N_rate_kg_ha,Name,Abbr,N_rate_lbs_ac_from_all,N_rate_kg_ha_from_all,N_rate_lbs_ac_merged_survey,N_rate_kg_ha_merged_survey,N_rate_kg_ha_from_Rylie,N_rate_kg_ha_adj,AEZ_memo
1,,,Alabama,AL,,,0,0,93.17043781,93.17043781,
2,,,Alaska,AK,,,0,0,0,0,
4,,,Arizona,AZ,,,0,0,147.4116037,0,"AZ, OR, NV, NM, CO, WY, UT"
5,101,113.20585,Arkansas,AR,99.75,111.8047875,101,113.20585,123.9857018,113.20585,
6,,,California,CA,,,0,0,137.4182176,0,
8,38.11111111,42.71683889,Colorado,CO,41.16666667,46.14165833,38.11111111,42.71683889,27.66743243,42.71683889,
9,,,Connecticut,CT,,,0,0,82.34505182,82.34505182,
10,,,Delaware,DE,,,0,0,78.91453536,78.91453536,
12,,,Florida,FL,,,0,0,106.1202341,106.1202341,
13,,,Georgia,GA,97,108.72245,97,108.72245,95.50569134,108.72245,
15,,,Hawaii,HI,,,0,0,0,0,
16,119.5714286,134.0216357,Idaho,ID,113.1333333,126.8054967,119.5714286,134.0216357,133.412161,134.0216357,
17,99.5,111.524575,Illinois,IL,96,107.6016,99.5,111.524575,106.7428014,111.524575,
18,87,97.51395,Indiana,IN,85.33333333,95.64586667,87,97.51395,79.88599649,97.51395,
19,,,Iowa,IA,,,0,0,89.2350207,89.2350207,
20,66.125,74.11620625,Kansas,KS,61.11764706,68.50371471,66.125,74.11620625,65.53346935,74.11620625,
21,97,108.72245,Kentucky,KY,97,108.72245,97,108.72245,125.0948057,108.72245,
22,,,Louisiana,LA,100,112.085,100,112.085,77.65198393,112.085,
23,,,Maine,ME,,,0,0,76.53150607,76.53150607,
24,,,Maryland,MD,,,0,0,124.3300096,124.3300096,
25,,,Massachusetts,MA,,,0,0,147.4116037,147.4116037,
26,108,121.0518,Michigan,MI,108,121.0518,108,121.0518,110.730235,121.0518,
27,66,73.9761,Minnesota,MN,66,73.9761,66,73.9761,95.6754809,73.9761,
28,,,Mississippi,MS,139,155.79815,139,155.79815,80.57769719,80.57769719,
29,97,108.72245,Missouri,MO,94.23529412,105.6236294,97,108.72245,109.8403583,108.72245,
30,61.44444444,68.87000556,Montana,MT,54.55555556,61.14859444,61.44444444,68.87000556,72.74600168,68.87000556,
31,55,61.64675,Nebraska,NE,50.66666667,56.78973333,55,61.64675,50.93188957,61.64675,
32,,,Nevada,NV,,,0,0,147.4116037,0,
33,,,New Hampshire,NH,,,0,0,147.4116037,0,
34,,,New Jersey,NJ,,,0,0,83.80320893,83.80320893,
35,,,New Mexico,NM,,,0,0,147.4116037,0,
36,,,New York,NY,,,0,0,80.77570193,80.77570193,
37,100.5,112.645425,North Carolina,NC,99,110.96415,100.5,112.645425,78.03994548,78.03994548,
38,85.33333333,95.64586667,North Dakota,ND,85.33333333,95.64586667,85.33333333,95.64586667,76.14228211,95.64586667,
39,86.33333333,96.76671667,Ohio,OH,84.58823529,94.81072353,86.33333333,96.76671667,120.6895293,96.76671667,
40,66.66666667,74.72333333,Oklahoma,OK,66.33333333,74.34971667,66.66666667,74.72333333,92.1009463,74.72333333,
41,65.5,73.415675,Oregon,OR,67.375,75.51726875,65.5,73.415675,72.46881585,73.415675,
42,,,Pennsylvania,PA,51,57.16335,51,57.16335,87.72119746,57.16335,
44,,,Rhode Island,RI,,,0,0,82.82663969,82.82663969,
45,,,South Carolina,SC,,,0,0,77.23858036,77.23858036,
46,71,79.58035,South Dakota,SD,55.47058824,62.17420882,71,79.58035,76.9427669,79.58035,
47,,,Tennessee,TN,,,0,0,91.32525754,91.32525754,
48,64.44444444,72.23255556,Texas,TX,73.5,82.382475,64.44444444,72.23255556,39.87876101,72.23255556,
49,,,Utah,UT,,,0,0,78.09082922,78.09082922,
50,,,Vermont,VT,,,0,0,80.15429802,80.15429802,
51,,,Virginia,VA,,,0,0,87.32080947,87.32080947,
53,77.22222222,86.55452778,Washington,WA,74.77777778,83.81467222,77.22222222,86.55452778,101.3867225,86.55452778,
54,,,West Virginia,WV,,,0,0,123.8459294,0,
55,,,Wisconsin,WI,,,0,0,77.41371782,77.41371782,
56,,,Wyoming,WY,,,0,0,85.18852243,85.18852243,
